STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT
UT,49,1,1448015,Beaver County,H1,A
UT,49,3,1455966,Box Elder County,H1,A
UT,49,5,1448017,Cache County,H1,A
UT,49,7,1448018,Carbon County,H1,A
UT,49,9,1448019,Daggett County,H1,A
UT,49,11,1448020,Davis County,H1,A
UT,49,13,1448021,Duchesne County,H1,A
UT,49,15,1448022,Emery County,H1,A
UT,49,17,1448023,Garfield County,H1,A
UT,49,19,1448024,Grand County,H1,A
UT,49,21,1448025,Iron County,H1,A
UT,49,23,1455158,Juab County,H1,A
UT,49,25,1448026,Kane County,H1,A
UT,49,27,1448027,Millard County,H1,A
UT,49,29,1448028,Morgan County,H1,A
UT,49,31,1448029,Piute County,H1,A
UT,49,33,1448030,Rich County,H1,A
UT,49,35,1448031,Salt Lake County,H1,A
UT,49,37,1448032,San Juan County,H1,A
UT,49,39,1448033,Sanpete County,H1,A
UT,49,41,1448034,Sevier County,H1,A
UT,49,43,1448035,Summit County,H1,A
UT,49,45,1448036,Tooele County,H1,A
UT,49,47,1448037,Uintah County,H1,A
UT,49,49,1448038,Utah County,H1,A
UT,49,51,1448039,Wasatch County,H1,A
UT,49,53,1448040,Washington County,H1,A
UT,49,55,1448041,Wayne County,H1,A
UT,49,57,1448042,Weber County,H1,A
